C     deuteron momentum distribution -- Van Orden
C
  0.00000E-02  1.50000E+01
  1.00000E-02  1.22267E+01
  2.00000E-02  9.37075E+00
  3.00000E-02  6.36775E+00
  4.00000E-02  4.09536E+00
  5.00000E-02  2.58426E+00
  6.00000E-02  1.62474E+00
  7.00000E-02  1.03190E+00
  8.00000E-02  6.68644E-01
  9.00000E-02  4.41580E-01
  1.00000E-01  2.96785E-01
  1.10000E-01  2.02983E-01
  1.20000E-01  1.41045E-01
  1.30000E-01  9.93876E-02
  1.40000E-01  7.09261E-02
  1.50000E-01  5.12074E-02
  1.60000E-01  3.73659E-02
  1.70000E-01  2.75328E-02
  1.80000E-01  2.04694E-02
  1.90000E-01  1.53435E-02
  2.00000E-01  1.15919E-02
  2.10000E-01  8.82522E-03
  2.20000E-01  6.76989E-03
  2.30000E-01  5.23212E-03
  2.40000E-01  4.07377E-03
  2.50000E-01  3.19633E-03
  2.60000E-01  2.52812E-03
  2.70000E-01  2.01648E-03
  2.80000E-01  1.62250E-03
  2.90000E-01  1.31735E-03
  3.00000E-01  1.07968E-03
  3.10000E-01  8.93547E-04
  3.20000E-01  7.46893E-04
  3.30000E-01  6.30589E-04
  3.40000E-01  5.37697E-04
  3.50000E-01  4.62941E-04
  3.60000E-01  4.02300E-04
  3.70000E-01  3.52686E-04
  3.80000E-01  3.11723E-04
  3.90000E-01  2.77576E-04
  4.00000E-01  2.48829E-04
  4.10000E-01  2.24392E-04
  4.20000E-01  2.03419E-04
  4.30000E-01  1.85249E-04
  4.40000E-01  1.69356E-04
  4.50000E-01  1.55329E-04
  4.60000E-01  1.42846E-04
  4.70000E-01  1.31655E-04
  4.80000E-01  1.21560E-04
  4.90000E-01  1.12404E-04
  5.00000E-01  1.04064E-04
  5.10000E-01  9.64340E-05
  5.20000E-01  8.94245E-05
  5.30000E-01  8.29638E-05
  5.40000E-01  7.69933E-05
  5.50000E-01  7.14650E-05
  5.60000E-01  6.63395E-05
  5.70000E-01  6.15834E-05
  5.80000E-01  5.71687E-05
  5.90000E-01  5.30697E-05
  6.00000E-01  4.92604E-05
  6.10000E-01  4.57178E-05
  6.20000E-01  4.24216E-05
  6.30000E-01  3.93541E-05
  6.40000E-01  3.64995E-05
  6.50000E-01  3.38437E-05
  6.60000E-01  3.13739E-05
  6.70000E-01  2.90785E-05
  6.80000E-01  2.69466E-05
  6.90000E-01  2.49675E-05
  7.00000E-01  2.31299E-05
  7.10000E-01  2.14237E-05
  7.20000E-01  1.98394E-05
  7.30000E-01  1.83687E-05
  7.40000E-01  1.70036E-05
  7.50000E-01  1.57370E-05
  7.60000E-01  1.45622E-05
  7.70000E-01  1.34731E-05
  7.80000E-01  1.24640E-05
  7.90000E-01  1.15296E-05
  8.00000E-01  1.06647E-05
  8.10000E-01  9.86405E-06
  8.20000E-01  9.12295E-06
  8.30000E-01  8.43691E-06
  8.40000E-01  7.80186E-06
  8.50000E-01  7.21406E-06
  8.60000E-01  6.67004E-06
  8.70000E-01  6.16663E-06
  8.80000E-01  5.70088E-06
  8.90000E-01  5.27008E-06
  9.00000E-01  4.87170E-06
  9.10000E-01  4.50342E-06
  9.20000E-01  4.16308E-06
  9.30000E-01  3.84863E-06
  9.40000E-01  3.55806E-06
  9.50000E-01  3.28954E-06
  9.60000E-01  3.04138E-06
  9.70000E-01  2.81202E-06
  9.80000E-01  2.60003E-06
  9.90000E-01  2.40408E-06
  1.00000E+00  2.22296E-06
